,Title,Year,certificate,Time,genre,star_rating,Content,votes,Text,boxoffice,Directors,Stars,MetaScore,gross_box_office
0,Tangled,2010,PG,100,"Animation, Adventure, Comedy",7.7,"    The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","402,208",                        1h 40mi,"$592,461,959","Nathan Greno, Byron Howard                 ","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman    ",71.0,200.82
1,The Princess and the Frog,2009,U,97,"Animation, Adventure, Comedy",7.1,"    A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.","123,027",                        1h 37mi,$0,"Ron Clements, John Musker                 ","Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos    ",73.0,104.4
2,Beauty and the Beast,1991,U,84,"Animation, Family, Fantasy",8.0,    A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"414,835",                        1h 24mi,"$424,967,620","Gary Trousdale, Kirk Wise                 ","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart    ",95.0,218.97
3,"Monsters, Inc.",2001,U,92,"Animation, Adventure, Comedy",8.1,"    In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","807,741",                        1h 32mi,"$579,707,070","Pete Docter, David Silverman, Lee Unkrich                 ","Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi    ",79.0,289.92
4,Aladdin,1992,U,90,"Animation, Adventure, Comedy",8.0,    A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"371,273",                        1h 30mi,"$504,050,219","Ron Clements, John Musker                 ","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman    ",86.0,217.35
5,Pocahontas,I,U,81,"Animation, Adventure, Drama",6.7,    An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"169,125",                        1h 21mi,"$346,079,773","Mike Gabriel, Eric Goldberg                 ","Mel Gibson, Linda Hunt, Christian Bale, Joe Baker    ",58.0,141.6
6,Hercules,1997,U,93,"Animation, Adventure, Comedy",7.3,    The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,"204,210",                        1h 33mi,"Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Feature Animation Paris      
        See more »","Ron Clements, John Musker                 ","Tate Donovan, Susan Egan, James Woods, Josh Keaton    ",74.0,99.05
7,A Bug's Life,1998,U,95,"Animation, Adventure, Comedy",7.2,"    A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","264,574",                        1h 35mi,"$363,258,859","John Lasseter, Andrew Stanton                 ","Kevin Spacey, Dave Foley, Julia Louis-Dreyfus, Hayden Panettiere    ",77.0,162.8
8,Toy Story,1995,PG,81,"Animation, Adventure, Comedy",8.3,    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"878,811",                        1h 21mi,"$373,554,033",John Lasseter                 ,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney    ",95.0,191.8
9,The Lion King,1994,U,88,"Animation, Adventure, Drama",8.5,"    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","932,650",                        1h 28mi,"$1,083,720,507","Roger Allers, Rob Minkoff                 ","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg    ",88.0,422.78
10,Mulan,1998,PG,88,"Animation, Adventure, Family",7.6,"    To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","253,919",                        1h 28mi,"Walt Disney Animation Studios, Walt Disney Feature Animation Florida, Walt Disney Pictures      
        See more »","Tony Bancroft, Barry Cook                 ","Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer    ",71.0,120.62
11,Meet the Robinsons,2007,U,95,"Animation, Adventure, Comedy",6.8,"    Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.","86,725",                        1h 35mi,"$169,333,034",Stephen J. Anderson                 ,"Daniel Hansen, Wesley Singerman, Angela Bassett, Jordan Fry    ",61.0,97.82
12,A Goofy Movie,1995,U,78,"Animation, Adventure, Comedy",6.9,"    When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.","45,754",                        1h 18mi,"$35,348,597",Kevin Lima                 ,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin    ",,35.35
13,The News Boys,1992,PG,121,"Drama, Family, History",7.0,    A musical based on the New York City newsboy strike of 1899. When young newspaper sellers are exploited beyond reason by their bosses they set out to enact change and are met by the ruthlessness of big business.,"18,812",                        2h 1mi,"$2,819,485",Kenny Ortega                 ,"Christian Bale, Bill Pullman, Robert Duvall, Ann-Margret    ",46.0,2.82
14,The Little Mermaid,1989,U,83,"Animation, Family, Fantasy",7.6,    A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,"235,628",                        1h 23mi,"$211,343,479","Ron Clements, John Musker                 ","Jodi Benson, Samuel E. Wright, Rene Auberjonois, Christopher Daniel Barnes    ",88.0,111.54
15,The Jungle Book,1967,U,78,"Animation, Adventure, Family",7.6,    Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,"164,906",                        1h 18mi,"$205,843,612",Wolfgang Reitherman                 ,"Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman    ",65.0,141.84
16,Up,2009,U,96,"Animation, Adventure, Comedy",8.2,"    78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","926,025",                        1h 36mi,"$735,099,102","Pete Docter, Bob Peterson                 ","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer    ",88.0,293.0
17,Lady and the Tramp,1955,U,76,"Animation, Adventure, Comedy",7.3,    The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,"121,797",                        1h 16mi,"$93,933,394","Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Cutting                 ","Barbara Luddy, Larry Roberts, Peggy Lee, Bill Thompson    ",78.0,93.6
18,Bedknobs and Broomsticks,1971,U,117,"Animation, Adventure, Comedy",7.1,"    An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II.","33,909",                        1h 57mi,"117 min
          |
        139 min
            (1996)
            (restored)
          |
        99 min
            (re-release)
            (1980)
          |
        130 min
            (initial US release)
            (November 1971)","Robert Stevenson, Ward Kimball                 ","Angela Lansbury, David Tomlinson, Roddy McDowall, Sam Jaffe    ",59.0,18.53
19,Oliver & Company,1988,U,74,"Animation, Adventure, Comedy",6.7,    A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.,"43,487",                        1h 14mi,"$74,151,346",George Scribner                 ,"Joey Lawrence, Billy Joel, Cheech Marin, Richard Mulligan    ",58.0,74.15
20,Peter Pan,1953,U,77,"Animation, Adventure, Family",7.3,"    Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.","125,406",                        1h 17mi,"$87,404,651","Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney                 ","Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson    ",76.0,87.4
21,Mary Poppins,1964,U,139,"Comedy, Family, Fantasy",7.8,"    In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","156,500",                        2h 19mi,"Walt Disney Productions      
        See more »",Robert Stevenson                 ,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns    ",88.0,102.27
22,The Parent Trap,1961,U,129,"Comedy, Family, Romance",7.1,    Teenage twin sisters swap places and scheme to reunite their divorced parents.,"18,791",                        2h 9mi,,David Swift                 ,"Hayley Mills, Maureen O'Hara, Brian Keith, Charles Ruggles    ",73.0,
23,Dumbo,1941,U,64,"Animation, Drama, Family",7.2,"    Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","118,729",                        1h 4mi,,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte                 ","Sterling Holloway, Edward Brophy, Herman Bing, Mel Blanc    ",96.0,1.6
24,Remember the Titans,2000,PG,113,"Biography, Drama, Sport",7.8,    The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,"196,655",                        1h 53mi,"$136,706,683",Boaz Yakin                 ,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst    ",48.0,115.65
25,The Emperor's New Groove,2000,U,78,"Animation, Adventure, Comedy",7.4,"    Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.","178,506",                        1h 18mi,"Walt Disney Animation Studios, Walt Disney Pictures      
        See more »",Mark Dindal                 ,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton    ",70.0,89.3
26,Sleeping Beauty,1959,U,75,"Animation, Family, Fantasy",7.2,"    After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.","134,347",                        1h 15mi,"Walt Disney Animation Studios, Walt Disney Productions      
        See more »","Clyde Geronimi, Les Clark, Hamilton Luske, Wolfgang Reitherman                 ","Mary Costa, Bill Shirley, Eleanor Audley, Verna Felton    ",85.0,51.6
27,James And The Giant Peach,1996,U,79,"Animation, Adventure, Family",6.7,"    An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.","59,895",                        1h 19mi,"$28,946,127",Henry Selick                 ,"Paul Terry, Joanna Lumley, Pete Postlethwaite, Simon Callow    ",78.0,28.93
28,Tarzan,1999,U,88,"Animation, Adventure, Family",7.3,    A man raised by gorillas must decide where he really belongs when he discovers he is a human.,"202,097",                        1h 28mi,"$448,191,819","Chris Buck, Kevin Lima                 ","Tony Goldwyn, Minnie Driver, Brian Blessed, Glenn Close    ",79.0,171.09
29,Finding Nemo,2003,U,100,"Animation, Adventure, Comedy",8.1,"    After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","941,319",                        1h 40mi,"$940,350,194","Andrew Stanton, Lee Unkrich                 ","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe    ",90.0,380.84
30,Tom and Huck,1995,PG,97,"Adventure, Comedy, Drama",5.5,    Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,"9,850",                        1h 37mi,"Walt Disney Pictures, Painted Fence Productions      
        See more »",Peter Hewitt                 ,"Jonathan Taylor Thomas, Brad Renfro, Charles Rocket, Eric Schweig    ",,23.74
31,The Great Mouse Detective,1986,U,74,"Animation, Adventure, Family",7.2,"    Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.","44,648",                        1h 14mi,"Walt Disney Pictures, Silver Screen Partners II, Walt Disney Animation Studios      
        See more »","Ron Clements, Burny Mattinson, David Michener, John Musker                 ","Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek    ",73.0,38.6
32,Robin Hood,1973,U,83,"Animation, Adventure, Comedy",7.6,    The story of the legendary outlaw is portrayed with the characters as humanoid animals.,"114,697",                        1h 23mi,83 min,"Wolfgang Reitherman, David Hand                 ","Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov    ",57.0,32.06
33,Alice in Wonderland,1951,U,75,"Animation, Adventure, Family",7.4,    Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,"127,936",                        1h 15mi,75 min,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney                 ","Kathryn Beaumont, Ed Wynn, Richard Haydn, Sterling Holloway    ",68.0,
34,The Parent Trap,1998,U,128,"Adventure, Comedy, Drama",6.5,"    Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.","119,668",                        2h 8mi,"Cinema Vehicle Services, The Meyers/Shyer Company, Walt Disney Pictures      
        See more »",Nancy Meyers                 ,"Lindsay Lohan, Dennis Quaid, Natasha Richardson, Elaine Hendrix    ",64.0,66.31
35,Toy Story 3,2010,U,103,"Animation, Adventure, Comedy",8.3,"    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","750,578",                        1h 43mi,"$1,066,969,895",Lee Unkrich                 ,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty    ",92.0,415.0
36,The Fox and the Hound,1981,U,83,"Animation, Adventure, Drama",7.3,"    A little fox named Tod, and Copper, a hound puppy, vow to be best buddies forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.","84,141",                        1h 23mi,"$63,456,988","Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman                 ","Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson    ",65.0,63.46
37,Cinderella,1950,U,74,"Animation, Family, Fantasy",7.3,"    When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother.","144,576",                        1h 14mi,"$95,126,722","Clyde Geronimi, Wilfred Jackson, Hamilton Luske                 ","Ilene Woods, James MacDonald, Eleanor Audley, Verna Felton    ",85.0,85.0
38,The Big Green,1995,U,100,"Comedy, Family, Sport",5.6,"    A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.","9,241",                        1h 40mi,"$17,736,619",Holly Goldberg Sloan                 ,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry    ",,17.73
39,Cool Runnings,1993,PG,98,"Adventure, Comedy, Family",7.0,"    When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.","92,047",                        1h 38mi,"$154,856,263",Jon Turteltaub                 ,"John Candy, Leon, Doug E. Doug, Rawle D. Lewis    ",60.0,68.86
40,The AristoCats,1970,U,78,"Animation, Adventure, Comedy",7.1,"    With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.","92,946",                        1h 18mi,"$35,459,543",Wolfgang Reitherman                 ,"Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers    ",66.0,37.68
41,Angels in the Outfield,1994,U,102,"Comedy, Family, Fantasy",6.2,"    When a boy prays for a chance to have a family if the California Angels win the pennant, angels are assigned to make that possible.","28,996",                        1h 42mi,"$50,236,831",William Dear                 ,"Danny Glover, Brenda Fricker, Tony Danza, Christopher Lloyd    ",44.0,50.24
42,The Sword in the Stone,1963,U,79,"Animation, Adventure, Comedy",7.2,"    A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.","88,829",                        1h 19mi,"Walt Disney Productions, Walt Disney Animation Studios      
        See more »","Wolfgang Reitherman, Clyde Geronimi, David Hand                 ","Rickie Sorensen, Sebastian Cabot, Karl Swenson, Junius Matthews    ",61.0,22.18
43,101 Dalmatians,1996,U,103,"Adventure, Comedy, Crime",5.7,"    An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.","100,667",                        1h 43mi,"$320,689,294",Stephen Herek                 ,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright    ",49.0,136.19
44,The Even Stevens Movie,2003 TV Movie,,93,"Comedy, Family",6.2,"    The Stevens think that they've won an all-expenses-paid trip to an island that's halfway around the world. When their house is destroyed, their food stolen, and their bacon eaten, the ...                See full summary »","6,492",                        1h 33mi,Dolby Digital,Sean McNamara                 ,"Shia LaBeouf, Christy Carlson Romano, Donna Pescow, Tom Virtue    ",,
45,Swiss Family Robinson,1960,U,126,"Adventure, Family",7.2,    A Swiss family must survive being shipwrecked on a deserted island.,"14,087",                        2h 6mi,"Walt Disney Productions      
        See more »",Ken Annakin                 ,"John Mills, Dorothy McGuire, James MacArthur, Janet Munro    ",61.0,40.36
46,Enchanted,2007,PG,107,"Animation, Comedy, Family",7.0,"    A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.","175,729",                        1h 47mi,"$340,487,747",Kevin Lima                 ,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey    ",75.0,127.81
47,The Princess Diaries,2001,U,111,"Comedy, Family, Romance",6.3,"    Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.","127,295",                        1h 51mi,"$165,335,153",Garry Marshall                 ,"Julie Andrews, Anne Hathaway, Hector Elizondo, Heather Matarazzo    ",52.0,108.25
48,The Lion King 2: Simba's Pride,1998 Video,U,81,"Animation, Adventure, Drama",6.5,    Simba's daughter is the key to a resolution of a bitter feud between Simba's pride and the outcast pride led by the mate of Scar.,"60,264",                        1h 21mi,"3 Channel Stereo
(5.1) (L-R)|        Dolby Digital
(Dolby Digital 5.1) (5.1) (L-R)","Darrell Rooney, Rob LaDuca                 ","Matthew Broderick, Neve Campbell, Andy Dick, Robert Guillaume    ",,
