,Title,MetaScore,gross_box_office,genre,Year,Directors
70,Pinocchio,99.0,84.25,"Animation, Comedy, Family",1940,"Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen                 "
23,Dumbo,96.0,1.6,"Animation, Drama, Family",1941,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte                 "
72,Spirited Away,96.0,10.06,"Animation, Adventure, Family",2001,Hayao Miyazaki                 
63,Ratatouille,96.0,206.45,"Animation, Adventure, Comedy",2007,"Brad Bird, Jan Pinkava                 "
60,Fantasia,96.0,76.41,"Animation, Family, Fantasy",1940,"James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen                 "
2,Beauty and the Beast,95.0,218.97,"Animation, Family, Fantasy",1991,"Gary Trousdale, Kirk Wise                 "
51,Snow White and the Seven Dwarfs,95.0,184.93,"Animation, Family, Fantasy",1937,"William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen                 "
74,WALLÂ·E,95.0,223.81,"Animation, Adventure, Family",2008,Andrew Stanton                 
8,Toy Story,95.0,191.8,"Animation, Adventure, Comedy",1995,John Lasseter                 
35,Toy Story 3,92.0,415.0,"Animation, Adventure, Comedy",2010,Lee Unkrich                 
62,Bambi,91.0,102.8,"Animation, Drama, Family",1942,"James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright, Arthur Davis, Clyde Geronimi                 "
29,Finding Nemo,90.0,380.84,"Animation, Adventure, Comedy",2003,"Andrew Stanton, Lee Unkrich                 "
49,The Incredibles,90.0,261.44,"Animation, Action, Adventure",2004,Brad Bird                 
21,Mary Poppins,88.0,102.27,"Comedy, Family, Fantasy",1964,Robert Stevenson                 
16,Up,88.0,293.0,"Animation, Adventure, Comedy",2009,"Pete Docter, Bob Peterson                 "
14,The Little Mermaid,88.0,111.54,"Animation, Family, Fantasy",1989,"Ron Clements, John Musker                 "
9,The Lion King,88.0,422.78,"Animation, Adventure, Drama",1994,"Roger Allers, Rob Minkoff                 "
4,Aladdin,86.0,217.35,"Animation, Adventure, Comedy",1992,"Ron Clements, John Musker                 "
