,Directors,Count
0,"Ron Clements, John Musker                 ",5
1,Gore Verbinski                 ,3
2,Wolfgang Reitherman                 ,2
3,Mark Dindal                 ,2
4,Stephen Herek                 ,2
5,John Pasquin                 ,2
6,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney                 ",2
7,Garry Marshall                 ,2
8,Kevin Lima                 ,2
9,Jon Turteltaub                 ,2
10,David Swift                 ,2
11,John Lasseter                 ,1
12,Sean McNamara                 ,1
13,Andrew Stanton                 ,1
14,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte                 ",1
15,"Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen                 ",1
16,Robert Stevenson                 ,1
17,"James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen                 ",1
18,Mark Waters                 ,1
19,Mike Mitchell                 ,1
20,"Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman                 ",1
21,"Brian Henson, David Lane                 ",1
22,Mike Newell                 ,1
23,"Mike Gabriel, Eric Goldberg                 ",1
24,"Ron Clements, Burny Mattinson, David Michener, John Musker                 ",1
25,"James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright, Arthur Davis, Clyde Geronimi                 ",1
26,"John Lasseter, Andrew Stanton                 ",1
27,"Aaron Blaise, Robert Walker                 ",1
28,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske                 ",1
29,"Roger Allers, Rob Minkoff                 ",1
30,Paul Hoen                 ,1
31,"Darrell Rooney, Rob LaDuca                 ",1
32,Boaz Yakin                 ,1
33,Chuck Sheetz                 ,1
34,"William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen                 ",1
35,Lee Unkrich                 ,1
36,"Hendel Butoy, Mike Gabriel                 ",1
37,"Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman                 ",1
38,Gabor Csupo                 ,1
39,"Pete Docter, David Silverman, Lee Unkrich                 ",1
40,"Pete Docter, Bob Peterson                 ",1
41,Joe Johnston                 ,1
42,Karl Geurs                 ,1
43,Tim Fywell                 ,1
44,"Robert Stevenson, Ward Kimball                 ",1
45,Ken Annakin                 ,1
46,"Nathan Greno, Byron Howard                 ",1
47,"Clyde Geronimi, Les Clark, Hamilton Luske, Wolfgang Reitherman                 ",1
48,Nancy Meyers                 ,1
49,"John Lasseter, Joe Ranft                 ",1
50,"John Lounsbery, Wolfgang Reitherman, Art Stevens                 ",1
51,William Dear                 ,1
52,Stephen J. Anderson                 ,1
53,Henry Selick                 ,1
54,Jay Russell                 ,1
55,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Cutting                 ",1
56,Dean Cundey                 ,1
57,Andy Fickman                 ,1
58,Peter Hewitt                 ,1
59,"Gary Trousdale, Kirk Wise                 ",1
60,Andrew Davis                 ,1
61,Kenny Ortega                 ,1
62,"Tony Bancroft, Barry Cook                 ",1
63,Rupert Wainwright                 ,1
64,Holly Goldberg Sloan                 ,1
65,Les Mayfield                 ,1
66,"Andrew Stanton, Lee Unkrich                 ",1
67,"Wolfgang Reitherman, David Hand                 ",1
68,"Wolfgang Reitherman, Clyde Geronimi, David Hand                 ",1
69,Douglas McCarthy                 ,1
70,Angela Robinson                 ,1
71,Brian Levant                 ,1
72,Tim Hill                 ,1
73,James Orr                 ,1
74,Hayao Miyazaki                 ,1
75,"Chris Buck, Kevin Lima                 ",1
76,George Scribner                 ,1
77,Duwayne Dunham                 ,1
78,"James Algar, GaÃ«tan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt                 ",1
79,Arlene Sanford                 ,1
80,Brad Bird                 ,1
81,"Brad Bird, Jan Pinkava                 ",1
82,"Dean DeBlois, Chris Sanders                 ",1
83,Larry Shaw                 ,1
84,Steven Brill                 ,1
